dataset,task,n_train,n_test,n_features,setting,perm_seed,tabpfn_seed,split_seed,main_metric,score,abs_diff,rel_diff,accuracy,roc_auc,log_loss,max_abs_dproba,label_flip_frac,fit_time,predict_time,gpu,perm_head,rmse,mae,r2,max_abs_dpred,mean_abs_dpred
spambase,classification,3680,921,57,default,0,42,0,accuracy,0.9609120521172638,0.0,0.0,0.9609120521172638,0.9919330153934259,0.10776705535357681,0.0,0.0,0.6623507216572762,1.7316726557910442,NVIDIA A100-SXM4-80GB,0 1 2 3 4 5 6 7 8 9,,,,,
spambase,classification,3680,921,57,default,1,42,0,accuracy,0.9652551574375678,0.004343105320304019,0.004519774011299437,0.9652551574375678,0.9912862742774766,0.1111068177264939,0.15961962938308716,0.004343105320304018,0.4298818539828062,1.1959610991179943,NVIDIA A100-SXM4-80GB,40 6 28 30 14 20 44 24 27 25,,,,,
spambase,classification,3680,921,57,default,2,42,0,accuracy,0.9652551574375678,0.004343105320304019,0.004519774011299437,0.9652551574375678,0.9914047611994825,0.11074713741733477,0.12470555305480957,0.004343105320304018,0.3792812041938305,1.200034935027361,NVIDIA A100-SXM4-80GB,18 38 46 6 39 40 53 33 25 23,,,,,
spambase,classification,3680,921,57,default,3,42,0,accuracy,0.9609120521172638,0.0,0.0,0.9609120521172638,0.991365265558814,0.11224710338488636,0.17523831129074097,0.002171552660152009,0.4435919038951397,1.2043142393231392,NVIDIA A100-SXM4-80GB,22 0 3 37 51 2 17 38 28 31,,,,,
spambase,classification,3680,921,57,default,4,42,0,accuracy,0.9619978284473398,0.0010857763300760048,0.0011299435028248592,0.9619978284473398,0.9913208329630616,0.11209189268889257,0.25612759590148926,0.0054288816503800215,0.3916211221367121,1.1958600021898746,NVIDIA A100-SXM4-80GB,56 37 55 23 18 35 42 43 0 26,,,,,
spambase,classification,3680,921,57,default,5,42,0,accuracy,0.9630836047774158,0.0021715526601520097,0.0022598870056497185,0.9630836047774158,0.9915627437621573,0.11073672240686819,0.17746314406394958,0.004343105320304018,0.46242021955549717,1.198093244805932,NVIDIA A100-SXM4-80GB,39 36 43 24 26 22 29 17 6 9,,,,,
spambase,classification,3680,921,57,n_est1,0,42,0,accuracy,0.9674267100977199,0.0,0.0,0.9674267100977199,0.990360595199305,0.11915548559243534,0.0,0.0,0.3709604851901531,0.16710522398352623,NVIDIA A100-SXM4-80GB,0 1 2 3 4 5 6 7 8 9,,,,,
spambase,classification,3680,921,57,n_est1,1,42,0,accuracy,0.9619978284473398,0.005428881650380024,0.005611672278338947,0.9619978284473398,0.9902717300078004,0.12347489347663214,0.6917378827929497,0.00760043431053203,0.3563954755663872,0.1669927928596735,NVIDIA A100-SXM4-80GB,40 6 28 30 14 20 44 24 27 25,,,,,
spambase,classification,3680,921,57,n_est1,2,42,0,accuracy,0.9609120521172638,0.006514657980456029,0.006734006734006737,0.9609120521172638,0.992004601242138,0.11162841260684457,0.8312909007072449,0.010857763300760043,0.35860815457999706,0.16728663444519043,NVIDIA A100-SXM4-80GB,18 38 46 6 39 40 53 33 25 23,,,,,
spambase,classification,3680,921,57,n_est1,3,42,0,accuracy,0.9609120521172638,0.006514657980456029,0.006734006734006737,0.9609120521172638,0.9912097514736811,0.11686219425212546,0.4188997745513916,0.010857763300760043,0.35613213293254375,0.16672031953930855,NVIDIA A100-SXM4-80GB,22 0 3 37 51 2 17 38 28 31,,,,,
spambase,classification,3680,921,57,n_est1,4,42,0,accuracy,0.9587404994571118,0.008686210640608039,0.008978675645342316,0.9587404994571118,0.9903260365137199,0.12119513440867824,0.4437769502401352,0.010857763300760043,0.361038101837039,0.16775400936603546,NVIDIA A100-SXM4-80GB,56 37 55 23 18 35 42 43 0 26,,,,,
spambase,classification,3680,921,57,n_est1,5,42,0,accuracy,0.9609120521172638,0.006514657980456029,0.006734006734006737,0.9609120521172638,0.9907876418140347,0.11826478167532589,0.3826637864112854,0.008686210640608035,0.3567013759166002,0.16749428398907185,NVIDIA A100-SXM4-80GB,39 36 43 24 26 22 29 17 6 9,,,,,
mfeat_fourier,classification,1600,400,76,default,0,42,0,accuracy,0.9075,0.0,0.0,0.9075,0.9934097222222222,0.212558021393583,0.0,0.0,0.3771511986851692,0.5870800837874413,NVIDIA A100-SXM4-80GB,0 1 2 3 4 5 6 7 8 9,,,,,
mfeat_fourier,classification,1600,400,76,default,1,42,0,accuracy,0.9025,0.0050000000000000044,0.005509641873278242,0.9025,0.9937083333333334,0.20994318209535,0.17968010902404785,0.015,0.3760452326387167,0.4902271833270788,NVIDIA A100-SXM4-80GB,45 65 16 20 14 71 15 31 33 6,,,,,
mfeat_fourier,classification,1600,400,76,default,2,42,0,accuracy,0.9025,0.0050000000000000044,0.005509641873278242,0.9025,0.9932569444444445,0.21787631408347344,0.1653001308441162,0.01,0.3779769968241453,0.49351462721824646,NVIDIA A100-SXM4-80GB,18 39 52 35 25 68 63 69 19 59,,,,,
mfeat_fourier,classification,1600,400,76,default,3,42,0,accuracy,0.9,0.007499999999999951,0.008264462809917302,0.9,0.9928958333333332,0.21791711224667792,0.2090652585029602,0.0175,0.3798738457262516,0.49347781017422676,NVIDIA A100-SXM4-80GB,58 60 0 73 53 38 35 18 41 31,,,,,
mfeat_fourier,classification,1600,400,76,default,4,42,0,accuracy,0.9,0.007499999999999951,0.008264462809917302,0.9,0.9932222222222222,0.2162582425342606,0.17588269710540771,0.0175,0.3824864365160465,0.49104407615959644,NVIDIA A100-SXM4-80GB,37 14 42 12 50 7 46 3 70 45,,,,,
mfeat_fourier,classification,1600,400,76,default,5,42,0,accuracy,0.9,0.007499999999999951,0.008264462809917302,0.9,0.9937222222222222,0.20842367220626257,0.1763121485710144,0.0125,0.37743818759918213,0.49162224866449833,NVIDIA A100-SXM4-80GB,41 51 38 26 66 62 30 35 46 27,,,,,
mfeat_fourier,classification,1600,400,76,n_est1,0,42,0,accuracy,0.9025,0.0,0.0,0.9025,0.9923541666666665,0.22936533697825243,0.0,0.0,0.43177019618451595,0.07383166626095772,NVIDIA A100-SXM4-80GB,0 1 2 3 4 5 6 7 8 9,,,,,
mfeat_fourier,classification,1600,400,76,n_est1,1,42,0,accuracy,0.8875,0.015000000000000013,0.016620498614958464,0.8875,0.9919930555555556,0.22485439127963303,0.599375307559967,0.0275,0.3583188708871603,0.07400610484182835,NVIDIA A100-SXM4-80GB,45 65 16 20 14 71 15 31 33 6,,,,,
mfeat_fourier,classification,1600,400,76,n_est1,2,42,0,accuracy,0.8975,0.0050000000000000044,0.005540166204986155,0.8975,0.9927638888888888,0.2231733058687987,0.6558670848608017,0.0375,0.3682244438678026,0.07433598302304745,NVIDIA A100-SXM4-80GB,18 39 52 35 25 68 63 69 19 59,,,,,
mfeat_fourier,classification,1600,400,76,n_est1,3,42,0,accuracy,0.885,0.01749999999999996,0.01939058171745148,0.885,0.9928611111111112,0.22122717391039196,0.7865542024374008,0.05,0.35983677953481674,0.07424302026629448,NVIDIA A100-SXM4-80GB,58 60 0 73 53 38 35 18 41 31,,,,,
mfeat_fourier,classification,1600,400,76,n_est1,4,42,0,accuracy,0.885,0.01749999999999996,0.01939058171745148,0.885,0.9916041666666666,0.24427718009109384,0.6725247949361801,0.045,0.3589868862181902,0.07485139928758144,NVIDIA A100-SXM4-80GB,37 14 42 12 50 7 46 3 70 45,,,,,
mfeat_fourier,classification,1600,400,76,n_est1,5,42,0,accuracy,0.8875,0.015000000000000013,0.016620498614958464,0.8875,0.9927777777777778,0.22031731195973264,0.5134181380271912,0.045,0.37447510845959187,0.07464477233588696,NVIDIA A100-SXM4-80GB,41 51 38 26 66 62 30 35 46 27,,,,,
superconductivity,regression,17010,4253,81,default,0,42,0,r2,0.9342735194369562,0.0,0.0,,,,,,0.758307559415698,5.59005593508482,NVIDIA A100-SXM4-80GB,0 1 2 3 4 5 6 7 8 9,8.746393578897402,4.639419565929825,0.9342735194369562,0.0,0.0
superconductivity,regression,17010,4253,81,default,1,42,0,r2,0.9333755793880052,0.0008979400489510514,0.0009611104567024426,,,,,,0.7299919798970222,5.196981376037002,NVIDIA A100-SXM4-80GB,48 57 75 71 14 76 17 8 79 6,8.805936511259718,4.6719877333061,0.9333755793880052,12.545307159423828,0.3249026215671372
superconductivity,regression,17010,4253,81,default,2,42,0,r2,0.9341083273239537,0.00016519211300258796,0.00017681343799848,,,,,,0.6830748897045851,5.193556943908334,NVIDIA A100-SXM4-80GB,58 74 18 68 14 34 69 35 21 5,8.757377953288227,4.642654440436929,0.9341083273239537,6.323921203613281,0.30813475406551094
superconductivity,regression,17010,4253,81,default,3,42,0,r2,0.9338669133246129,0.0004066061123433329,0.000435210999652838,,,,,,0.6635017860680819,5.194381536915898,NVIDIA A100-SXM4-80GB,76 55 70 37 0 22 58 66 18 31,8.773405932463902,4.656311892143257,0.9338669133246129,7.710498809814453,0.3032944366640689
superconductivity,regression,17010,4253,81,default,4,42,0,r2,0.9337852452460527,0.0004882741909035815,0.0005226244571266902,,,,,,0.6570841260254383,5.194624453783035,NVIDIA A100-SXM4-80GB,40 48 2 7 38 35 27 31 3 30,8.778821422446603,4.656276742061322,0.9337852452460527,7.063240051269531,0.3228849000859171
superconductivity,regression,17010,4253,81,default,5,42,0,r2,0.9342707704850508,2.7489519054402223e-06,2.94234166788425e-06,,,,,,0.6612633373588324,5.194655649363995,NVIDIA A100-SXM4-80GB,31 38 69 30 4 44 39 67 66 29,8.746576482072008,4.652462934718396,0.9342707704850508,8.751628875732422,0.32421426728013936
superconductivity,regression,17010,4253,81,n_est1,0,42,0,r2,0.9329620195492522,0.0,0.0,,,,,,0.4462199117988348,0.5609207395464182,NVIDIA A100-SXM4-80GB,0 1 2 3 4 5 6 7 8 9,8.83322491156769,4.683457745481776,0.9329620195492522,0.0,0.0
superconductivity,regression,17010,4253,81,n_est1,1,42,0,r2,0.930325439767971,0.0026365797812811786,0.0028260312060238058,,,,,,0.5241763237863779,0.5587218981236219,NVIDIA A100-SXM4-80GB,48 57 75 71 14 76 17 8 79 6,9.005253554575607,4.753962881746985,0.930325439767971,19.052682876586914,0.8720609534329494
superconductivity,regression,17010,4253,81,n_est1,2,42,0,r2,0.931850971637741,0.001111047911511176,0.001190882252685874,,,,,,0.4389996789395809,0.5594350937753916,NVIDIA A100-SXM4-80GB,58 74 18 68 14 34 69 35 21 5,8.906122440066747,4.702772389030618,0.931850971637741,23.390422821044922,0.7630976722106012
superconductivity,regression,17010,4253,81,n_est1,3,42,0,r2,0.9314854521667896,0.0014765673824626013,0.0015826661230818214,,,,,,0.4395063500851393,0.5600936897099018,NVIDIA A100-SXM4-80GB,76 55 70 37 0 22 58 66 18 31,8.92997463465746,4.73604185232791,0.9314854521667896,24.46719741821289,0.8557929122199031
superconductivity,regression,17010,4253,81,n_est1,4,42,0,r2,0.9322354981884283,0.0007265213608238508,0.0007787255489509205,,,,,,0.43974574841558933,0.5596856437623501,NVIDIA A100-SXM4-80GB,40 48 2 7 38 35 27 31 3 30,8.880960782370463,4.6897074392511175,0.9322354981884283,24.988014221191406,0.7661553519378753
superconductivity,regression,17010,4253,81,n_est1,5,42,0,r2,0.9330014645388232,3.9444989570980304e-05,4.227930906559048e-05,,,,,,0.45319290459156036,0.5593170411884785,NVIDIA A100-SXM4-80GB,31 38 69 30 4 44 39 67 66 29,8.830625804833094,4.692239788363588,0.9330014645388232,20.347335815429688,0.7784399255158065
scm20d,regression,7172,1794,61,default,0,42,0,r2,0.9463426539116557,0.0,0.0,,,,,,0.47883041203022003,2.2225068118423223,NVIDIA A100-SXM4-80GB,0 1 2 3 4 5 6 7 8 9,51.82613144978329,30.31355425134019,0.9463426539116557,0.0,0.0
