dataset,task,n_train,n_test,n_features,setting,perm_seed,tabpfn_seed,split_seed,main_metric,score,abs_diff,rel_diff,rmse,mae,r2,max_abs_dpred,mean_abs_dpred,fit_time,predict_time,gpu,column_order,perm_index
ke02_shuffle,regression,100758,25190,7,default,0,42,42,r2,0.998077038738751,0.0,0.0,213.74669043345736,115.59662591564883,0.998077038738751,0.0,0.0,1.3597916420549154,36.24256296083331,NVIDIA A100-SXM4-80GB,Choke | DHP | DHT | FLP | FLT | FTHP | FTHT,0 1 2 3 4 5 6
ke02_shuffle,regression,100758,25190,7,default,1,42,42,r2,0.9979774085239773,9.963021477366052e-05,9.982216893754126e-05,219.2139651513182,116.34898870356993,0.9979774085239773,1308.6875,13.025649439261612,1.0191977489739656,35.86948467232287,NVIDIA A100-SXM4-80GB,FTHP | Choke | DHP | FLT | DHT | FTHT | FLP,5 0 1 4 2 6 3
ke02_shuffle,regression,100758,25190,7,default,2,42,42,r2,0.9980074684743333,6.957026441767322e-05,6.9704303092262e-05,217.57887761426193,115.08680871099244,0.9980074684743333,1682.65625,12.111190925528483,1.0083579253405333,35.9218921829015,NVIDIA A100-SXM4-80GB,FTHP | FTHT | DHT | FLP | FLT | Choke | DHP,5 6 2 3 4 0 1
ke02_shuffle,regression,100758,25190,7,default,3,42,42,r2,0.9980863877879445,9.349049193474457e-06,9.367061690236512e-06,213.22646073522543,114.86822698446525,0.9980863877879445,1154.4140625,12.123332632927253,1.006069915369153,35.89173603989184,NVIDIA A100-SXM4-80GB,FTHP | FTHT | DHT | DHP | FLT | FLP | Choke,5 6 2 1 4 3 0
ke02_shuffle,regression,100758,25190,7,default,4,42,42,r2,0.9979485351690232,0.0001285035697278225,0.0001287511532077822,220.7731068854711,115.66880517084937,0.9979485351690232,2253.6875,13.002821525158794,1.013166792690754,35.89873107150197,NVIDIA A100-SXM4-80GB,DHP | DHT | Choke | FTHP | FLT | FLP | FTHT,1 2 0 5 4 3 6
ke02_shuffle,regression,100758,25190,7,default,5,42,42,r2,0.9980533628670158,2.3675871735129306e-05,2.3721487236143622e-05,215.058510280454,115.42249320459902,0.9980533628670158,940.96484375,12.027605278012109,0.979427570477128,35.909486731514335,NVIDIA A100-SXM4-80GB,DHP | FLT | DHT | FLP | FTHT | FTHP | Choke,1 4 2 3 6 5 0
ke02_2025,regression,101159,24789,7,default,0,42,-1,rmse,2605.812051679693,0.0,0.0,2605.812051679693,1868.7595977400078,-2.7120146100311433,0.0,0.0,0.8695692010223866,35.83625523932278,NVIDIA A100-SXM4-80GB,Choke | DHP | DHT | FLP | FLT | FTHP | FTHT,0 1 2 3 4 5 6
ke02_2025,regression,101159,24789,7,default,1,42,-1,rmse,2608.8251209015757,3.013069221882688,0.0011562880062437654,2608.8251209015757,1868.5335835956819,-2.720603888947089,971.458984375,66.4995892284002,0.7818916011601686,35.80832846276462,NVIDIA A100-SXM4-80GB,FTHP | Choke | DHP | FLT | DHT | FTHT | FLP,5 0 1 4 2 6 3
ke02_2025,regression,101159,24789,7,default,2,42,-1,rmse,2602.984638949842,2.8274127298509484,0.0010850409291907346,2602.984638949842,1867.0116740959259,-2.7039636046739606,1513.8125,85.2541878454153,0.7655835077166557,35.82598140835762,NVIDIA A100-SXM4-80GB,FTHP | FTHT | DHT | FLP | FLT | Choke | DHP,5 6 2 3 4 0 1
ke02_2025,regression,101159,24789,7,default,3,42,-1,rmse,2579.1751072185966,26.63694446109639,0.010222128047925157,2579.1751072185966,1839.9973797432722,-2.6365131081783444,1071.46875,85.2956823165643,0.7892896588891745,35.82517038844526,NVIDIA A100-SXM4-80GB,FTHP | FTHT | DHT | DHP | FLT | FLP | Choke,5 6 2 1 4 3 0
ke02_2025,regression,101159,24789,7,default,4,42,-1,rmse,2661.408799542857,55.59674786316418,0.02133567070860955,2661.408799542857,1893.4706329947737,-2.872101002107237,1830.578125,93.4743555136603,0.7905132360756397,35.829159835353494,NVIDIA A100-SXM4-80GB,DHP | DHT | Choke | FTHP | FLT | FLP | FTHT,1 2 0 5 4 3 6
ke02_2025,regression,101159,24789,7,default,5,42,-1,rmse,2654.971103973113,49.15905229341979,0.018865156549464922,2654.971103973113,1880.8038272998263,-2.8533911677116772,2152.9453125,98.8494550254145,0.7903049997985363,35.815842593088746,NVIDIA A100-SXM4-80GB,DHP | FLT | DHT | FLP | FTHT | FTHP | Choke,1 4 2 3 6 5 0
