timestamp,dataset,ucr_type,resample,n_train,n_test,series_length,n_channels,n_classes,accuracy,balanced_accuracy,n_groups,n_kernels,tabpfn_n_estimators,feature_time,tabpfn_time,total_time,seed,device,n_cpus,gpu_name,host,torch_version,tabpfn_version,aeon_version,notes
2026-09-01T13:28:40+00:00,ACSF1,Device,5,100,100,1460,1,10,0.86,0.86,10,1000,10|10|10|10|10|10|10|10|10|10,3.002,27.296,30.299,5,cuda,8,NVIDIA A100-SXM4-80GB,gpu102-09,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T13:29:08+00:00,BeetleFly,Image,5,20,20,512,1,2,0.8,0.8,10,1000,10|10|10|10|10|10|10|10|10|10,0.269,27.032,27.302,5,cuda,8,NVIDIA A100-SXM4-80GB,gpu102-09,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T13:29:37+00:00,DistalPhalanxOutlineAgeGroup,Image,5,400,139,80,1,3,0.7769784172661871,0.730638852672751,10,1000,10|10|10|10|10|10|10|10|10|10,0.452,28.605,29.059,5,cuda,8,NVIDIA A100-SXM4-80GB,gpu102-09,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T13:30:52+00:00,ECG5000,ECG,5,500,4500,140,1,5,0.9491111111111111,0.5701173660380132,10,1000,10|10|10|10|10|10|10|10|10|10,6.753,68.835,75.593,5,cuda,8,NVIDIA A100-SXM4-80GB,gpu102-09,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T13:31:24+00:00,Fish,Image,5,175,175,463,1,7,0.9657142857142857,0.9645949288806432,10,1000,10|10|10|10|10|10|10|10|10|10,1.596,30.023,31.62,5,cuda,8,NVIDIA A100-SXM4-80GB,gpu102-09,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T13:32:30+00:00,FreezerRegularTrain,Sensor,5,150,2850,301,1,2,0.9985964912280701,0.9985964912280701,10,1000,10|10|10|10|10|10|10|10|10|10,8.671,57.113,65.787,5,cuda,8,NVIDIA A100-SXM4-80GB,gpu102-09,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T13:33:33+00:00,FreezerSmallTrain,Sensor,5,28,2850,301,1,2,0.9887719298245614,0.9887719298245614,10,1000,10|10|10|10|10|10|10|10|10|10,8.322,54.081,62.405,5,cuda,8,NVIDIA A100-SXM4-80GB,gpu102-09,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T13:34:01+00:00,Ham,Spectro,5,109,105,431,1,2,0.7523809523809524,0.7521786492374728,10,1000,10|10|10|10|10|10|10|10|10|10,0.959,27.589,28.55,5,cuda,8,NVIDIA A100-SXM4-80GB,gpu102-09,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T13:34:29+00:00,ItalyPowerDemand,Sensor,5,67,1029,24,1,2,0.9659863945578231,0.9659776055124891,10,1000,10|10|10|10|10|10|10|10|10|10,0.304,27.854,28.16,5,cuda,8,NVIDIA A100-SXM4-80GB,gpu102-09,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-01T13:35:50+00:00,MixedShapesSmallTrain,Image,5,100,2425,1024,1,5,0.948041237113402,0.9470869375222175,10,1000,10|10|10|10|10|10|10|10|10|10,25.291,54.346,79.639,5,cuda,8,NVIDIA A100-SXM4-80GB,gpu102-09,2.11.0+cu128,8.1.0,1.5.0,a100-reference
