timestamp,dataset,ucr_type,resample,n_train,n_test,series_length,n_channels,n_classes,accuracy,balanced_accuracy,n_groups,n_kernels,tabpfn_n_estimators,feature_time,tabpfn_time,total_time,seed,device,n_cpus,gpu_name,host,torch_version,tabpfn_version,aeon_version,notes
2026-09-06T15:38:23+00:00,ECG200,ECG,11,100,100,96,1,2,0.93,0.9210069444444444,10,1000,10|10|10|10|10|10|10|10|10|10,0.233,27.818,28.052,11,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T15:38:51+00:00,GunPoint,Motion,11,50,150,150,1,2,0.9933333333333333,0.993421052631579,10,1000,10|10|10|10|10|10|10|10|10|10,0.343,27.427,27.772,11,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T15:39:19+00:00,FaceFour,Image,11,24,88,350,1,4,0.9090909090909091,0.9213286713286714,10,1000,10|10|10|10|10|10|10|10|10|10,0.427,27.459,27.887,11,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T15:39:48+00:00,MiddlePhalanxTW,Image,11,399,154,80,1,6,0.5974025974025974,0.4096376811594203,10,1000,10|10|10|10|10|10|10|10|10|10,0.481,28.863,29.346,11,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T15:40:18+00:00,ProximalPhalanxTW,Image,11,400,205,80,1,6,0.7902439024390244,0.5128375977256575,10,1000,10|10|10|10|10|10|10|10|10|10,0.519,29.262,29.784,11,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T15:40:46+00:00,Trace,Sensor,11,100,100,275,1,4,1.0,1.0,10,1000,10|10|10|10|10|10|10|10|10|10,0.581,27.876,28.458,11,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T15:41:15+00:00,GunPointAgeSpan,Motion,11,135,316,150,1,2,0.990506329113924,0.9904647435897436,10,1000,10|10|10|10|10|10|10|10|10|10,0.707,28.396,29.105,11,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T15:41:51+00:00,DistalPhalanxOutlineCorrect,Image,11,600,276,80,1,2,0.8405797101449275,0.8285714285714285,10,1000,10|10|10|10|10|10|10|10|10|10,0.74,35.054,35.796,11,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T15:42:20+00:00,Lightning2,Sensor,11,60,61,637,1,2,0.7868852459016393,0.7678571428571428,10,1000,10|10|10|10|10|10|10|10|10|10,0.82,27.701,28.523,11,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T15:42:51+00:00,MoteStrain,Sensor,11,20,1252,84,1,2,0.9353035143769968,0.9347159637974196,10,1000,10|10|10|10|10|10|10|10|10|10,1.126,30.093,31.221,11,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T15:43:21+00:00,ECGFiveDays,ECG,11,23,861,136,1,2,1.0,1.0,10,1000,10|10|10|10|10|10|10|10|10|10,1.238,28.306,29.545,11,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T15:43:51+00:00,OSULeaf,Image,11,200,242,427,1,6,0.9669421487603306,0.9707525566221218,10,1000,10|10|10|10|10|10|10|10|10|10,1.942,28.711,30.654,11,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T15:44:22+00:00,HouseTwenty,Device,11,40,119,2000,1,2,0.9747899159663865,0.97,10,1000,10|10|10|10|10|10|10|10|10|10,3.331,27.706,31.039,11,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T15:44:56+00:00,LargeKitchenAppliances,Device,11,375,375,720,1,3,0.944,0.944,10,1000,10|10|10|10|10|10|10|10|10|10,5.533,28.39,33.924,11,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T15:46:39+00:00,TwoPatterns,Simulated,11,1000,4000,128,1,4,1.0,1.0,10,1000,10|10|10|10|10|10|10|10|10|10,6.49,95.981,102.474,11,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T15:47:22+00:00,SemgHandMovementCh2,Spectrum,11,450,450,1500,1,6,0.8755555555555555,0.8755555555555556,10,1000,10|10|10|10|10|10|10|10|10|10,13.889,29.272,43.163,11,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T15:48:46+00:00,UWaveGestureLibraryY,Motion,11,896,3582,315,1,8,0.8020658849804578,0.8028163203364624,10,1000,10|10|10|10|10|10|10|10|10|10,14.205,69.11,83.318,11,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T15:50:07+00:00,Mallat,Simulated,11,55,2345,1024,1,8,0.967590618336887,0.9675988042275734,10,1000,10|10|10|10|10|10|10|10|10|10,25.17,54.989,80.161,11,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T15:52:00+00:00,UWaveGestureLibraryAll,Motion,11,896,3582,945,1,8,0.9773869346733668,0.977345606276362,10,1000,10|10|10|10|10|10|10|10|10|10,43.37,69.26,112.634,11,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
2026-09-06T15:53:35+00:00,FordA,Sensor,11,3601,1320,500,1,2,0.9454545454545454,0.9455923007452449,10,1000,10|10|10|10|10|10|10|10|10|10,24.883,69.721,94.613,11,cuda,8,NVIDIA A100-SXM4-80GB,gpu108-02-l,2.11.0+cu128,8.1.0,1.5.0,a100-reference
